學名,商品名,正常劑量,CCr 30-50,CCr 10-30,CCr <10,Hemodialysis
Cefuroxime,Furoxime; Ceflour,0.75-1.5g Q8H,0.75-1.5g Q8-12H,0.75-1.5g Q8-12H,0.75-1.5g QD,0.75-1.5g QD(give dialysis day dose AD)
Cefoxitin,Cexitin; Cefotin; Lofatin,2g Q8H,2g Q8-12H,2g Q8-12H,2g QD-QOD,2g QD-QOD(+ extra 1g AD)
Cefmetazole,Cefmay; Cefzon; Lofeta,2g Q6-Q12H;(50-90)1-2g Q12H,1-2g Q16H,1-2g Q24H,1-2g Q48H,1-2g Q48(give dose after HD)
Flomoxef,Flumarin; Flogalcin,1-2g/d up to 4g/d,(80-50)3g/d (50-25)2g/d,(<25)1g/d,1g/d,1g/d(give dialysis day dose AD)
Cefotaxime,Loforan; Claforan,2g Q8H (>50-90)2g Q8-Q12H,2g Q12-24H,2g Q12-24H,2g QD,2g QD(+ extra 1g AD)
Ceftriaxone,Cefin; Cetalin; Sintrix,1-2g Q12H-QD,No adjustment,No adjustment,No adjustment,No adjustment
Ceftazidime,Cefdime; Cefortime,2g Q8H (>50-90)2g Q8-Q12H,2g Q12-24H,2g Q12-24H,2g Q24-48H,2g Q24-48H + 1g(+ extra 1g AD)
Cefoperazone+Sulbactam,Brosym; Zefotam,0.5g/0.5g-2g/2g Q12H,0.5g/0.5g-2g/2g Q12H,(15-30)max 1g/1g Q12H,(≦15)max 0.5g/0.5g Q12H,0.5g/0.5g Q12H(take a dose after dialysis)
Cefixime (PO),Cexime; Cefixmycin; Ceficin,400mg Q24H,300mg Q24H,300mg Q24H,200mg Q24H,200mg Q24H(dose AD on dialysis days)
Cefepime,Cefim; Supecef,2g Q8H (60-90)2g Q8-12H,(30-60)2g Q12H,2g QD,1g QD,1g QD(+ extra 1 gm AD)
Ceftaroline,Zinforo,600mg Q12H,400mg Q12H,(15-30)300mg Q12H,(<15) 200mg Q12H,200mg Q12H
Aztreonam,Aztreonam,2g Q8H,1-1.5g Q8H,1-1.5g Q8H,1-2g QD,1-2g QD(AD on HD days)
Imipenem+Cilastatin,Genem; Imibiotic,500mg Q6H/1g Q8H,(60-90)400-500mg Q6H,(30-60)300mg Q6H/500mg Q8H, (15-30)200mg Q6H/500mg Q12H,200mg Q6H or 500mg Q12H (dose AD)
Meropenem,Meronem; Mepem; Meropem,1g Q8H,(25-50)1g Q12H,500mg Q12H,500mg QD,500mg QD(give dialysis day dose AD)
Ertapenem,Invanz; Ertacure,1g QD,1g QD,500mg QD,500mg QD,500mg 3x/week AD
Doripenem,Finibax,500mg Q8H,250mg Q8H,250mg Q12H,no data,no data
Gentamicin (IM/IV),Gentamicin,(MDD)1.7-2.0mg/kg Q8H,1.7-2.0mg/kg Q12-24H,1.7-2.0mg/kg Q12-24H,1.7-2.0mg/kg Q48H,1.7-2 mg/kg Q48H(+ extra 0.85-1.0 mg/kg AD)
Amikacin,Acemycin; Orikacin,7.5mg/kg Q12H,7.5mg/kg QD,7.5mg/kg QD,7.5mg/kg Q48H,7.5mg/kg Q48H(+extra 3.75mg/kg AD)
Ciprofloxacin (IV),Ciproxin,400mg Q12H,400mg QD,400mg QD,400mg QD,400mg QD(dose AD on dialysis days)
Levofloxacin (IV),Cravit; Leflodal; Bacflocin,750mg QD,(20-49)750mg Q48H,(<20)750mgX1 then 500mg QOD,750mg x1 then 500mg QOD,750mg x1 then 500mg QOD
Moxifloxacin,Avelox; Moflodal; Mosflow,400mg QD,No adjustment,No adjustment,No adjustment,No adjustment
Azithromycin,Zithromax; Zythrocin; Azicine,250-500mg QD,No adjustment,No adjustment,No adjustment,No adjustment
Clarithromycin,Klaricid; Klarith; Colirocin,500mg Q12H,500mg Q12-24H,500mg Q12-24H,500mg QD,500mg QD (dose AD on dialysis days)
Erythromycin (PO),Erythrocin,250mg-500mg Q6H,No adjustment,No adjustment,Consider reducing dose by 25-50%,No adjustment
Clindamycin (IV),Ulecin; Clincin,600–1200mg/day in 2.3 or 4 equal doses;1.2-2.7g/day in 2.3 or 4 equal doses,No adjustment,No adjustment,No adjustment,No adjustment
Clindamycin (PO),Damicin,150-300/300-450mg Q6H,No adjustment,No adjustment,No adjustment,No adjustment
Doxycycline,Doxymycin; Miraclin,100mg Q12H,No adjustment,No adjustment,No adjustment,No adjustment
Tetracycline (PO),Tetracycline,250-500mg q6h;(50-90)250-500mg q8-q12h,250-500mg q12h-24h,250-500mg q12h-24h,250-500mg QD, 250-500mg QD
TMP+SMX,Baktar; Sevatrim,5-20mg/kg/day divided Q6-12H,5-20mg/kg/day divided Q6-12H,5-10mg/kg/day divided Q12H,Not recommended(if use 5-10 mg/kg QD),Not recommended(if use 5-10 mg/kg QD; give dialysis day dose AD)
Metronidazole (IV/PO),Metronidazole,7.5 mg/kg Q6H,7.5 mg/kg Q6H,7.5 mg/kg Q6H,7.5 mg/kg Q12H,7.5 mg/kg Q12H(give one of the dialysis day doses AD)
Nitrofurantoin (PO),Furocolin; Yumenin,100mg Q12H,Avoid use,Avoid use,Avoid use,Avoid use
Fosfomycin,Fosmycin; Monurol; Focimycin,12-24 gm/day(divided Q8-12H),100%,30-40:70%;20-30:60%;10-20:40%,20% dose,2g QOD(give AD)
Rifampin,Rina; Ripin,600mg QD,300-600mg QD,300-600mg QD,300-600mg QD,300-600mg QD
Vancomycin,Lyo-Vancin; Nuvanco,30-60mg/kg in 2-3 divided doses;(50-90)15-30mg/kg Q12H,15mg/kg Q24-96H,15mg/kg Q24-96H,7.5mg/kg Q2-3 days,Target AUC 400-600 pg/mL x h(Typical doses: give 15mg/kg if next dialysis is in 1 day; 25 mg/kg if in 2 days; 35 mg/kg if in 3 days)
Teicoplanin (IV),Targocid; Teicon; Tarikin,6 mg/kg Q12H x3 doses (load) then 6 mg/kg Q24H, (30-80)load->then 6 mg/kg Q48H, load then 6 mg/kg Q72H, load then 6mg/kg Q72H, Load then 6 mg/kg Q72H. Give AD on dialysis day
Linezolid (PO/IV),Zyvox; Linetero; Prezolid,600mg Q12H,No adjustment,No adjustment,No adjustment,No adjustment(give one of the dialysis day doses AD)
Daptomycin,Cubicin; Daptocin,4-6mg/kg QD,4-6mg/kg QD,6mg/kg QOD,6mg/kg QOD,6mg/kg QOD after dialysis
Tigecycline,Tygacil; Tigelin,100mg then 50mg Q12H,No adjustment,No adjustment,No adjustment,No adjustment
Colistin,Colimycin; Locolin; Colistar,Load: 4mg x (pt wt in kg). Use lower of ideal or actual wt. Load may exceed 300 mg. Start maintenance 12 hrs later:(>90)180mg Q12H,見熱病,見熱病,見熱病,見熱病
Fluconazole (PO/IV),Diflucan; Flucozyd; Flunazole,100-400mg QD,50-200mg QD,50-200mg QD,50-200mg QD,50-200mg Q24H on non-dialysis days; 100-400mg (full dose) AD on dialysis day
Anidulafungin,Eraxis,(Candidemia)200mg on D1; D2 and there after: 100mg QD,No adjustment,No adjustment,No adjustment,No adjustment
Caspofungin,Cancidas; CaspoCure,D1 70mg;D2 and there after:50mg QD(reduce to 35mg QD with moderate hepatic insufficiency,No adjustment,No adjustment,No adjustment,No adjustment
Micafungin,Mycamine; Myfungin,50mg q24h for prophylaxis post-bone marrow stem cell trans;100mg q24h candidemia;150mg q24h andidaesophagitis,No adjustment,No adjustment,No adjustment,No adjustment
Voriconazole,Vfend; Vaway,6mg/kg Q12H x 2 dose then 4mg/kg Q12H,(CrCI<50) use oral or discontinue,(CrCI<50) use oral or discontinue,(CrCI<50) use oral or discontinue,avoid using
Liposomal Amphotericin B,Ampholipad; Lipo-AB,3-5mg/kg QD;6mg/kg QD,No adjustment,No adjustment,No adjustment,No adjustment
Amphotericin B deoxycholate,Fungizone,0.25-1 mg/kg QD,No adjustment,No adjustment,No adjustment,No adjustment
Acyclovir (IV),Zovirax,5-12.5mg/kg Q8H,5-12.5mg/kg Q12-24H,5-12.5mg/kg Q12-24H,2.5-6.25mg/kg QD,2.5-6.25mg/kg QD(dose AD on dialysis days)
Acyclovir (PO),Zovirax; Medovir,800mg Q4H(5x/day),800mg Q4H(5x/day),(10-25)800mg Q8H,800mg Q12H, 800mg Q12H(give extra dose AD)
Ganciclovir (induction),Cymevene; Gancicure, 5mg/kg Q12H; (50-69):2.5mg/kg Q12H,(25-50)2.5mg/kg QD,(10-25)1.25mg/kg QD,1.25mg/kg 3x/week,1.25 mg/kg 3x/week(dose AD on dialysis days)
Remdesivir,Veklury,200mg stat then 100mg Q24H, 100mg Q24H, 100mg Q24H, Not recommended, Not recommended
Peramivir,Rapiacta; Pera-Ful,600mg QD,200mg QD,100mg QD,100mg x1 then 15mg QD,100mg xl then 100 mg 2hrs AD on HD days only
